date,product,quantity,price
2026-01-01,pizza,10,12.99
2026-01-01,pasta,14,9.99
2026-01-01,salad,4,15.99
2026-01-01,espresso,22,2.50
2026-01-01,tiramisu,6,6.99
2026-01-02,pizza,18,12.99
2026-01-02,pasta,9,9.99
2026-01-02,calzone,5,11.99
2026-01-02,salad,7,15.99
2026-01-02,house wine,8,7.50
2026-01-03,pizza,24,12.99
2026-01-03,pasta,12,9.99
2026-01-03,margherita,15,10.99
2026-01-03,diavola,11,13.99
2026-01-03,espresso,31,2.50
2026-01-04,pizza,8,12.99
2026-01-04,pasta,16,9.99
2026-01-04,salad,5,15.99
2026-01-04,tiramisu,9,6.99
2026-01-05,pizza,21,12.99
2026-01-05,calzone,7,11.99
2026-01-05,margherita,19,10.99
2026-01-05,house wine,12,7.50
2026-01-05,espresso,28,2.50
2026-01-06,pizza,14,12.99
2026-01-06,pasta,11,9.99
2026-01-06,diavola,8,13.99
2026-01-06,salad,6,15.99
2026-01-07,pizza,27,12.99
2026-01-07,margherita,22,10.99
2026-01-07,pasta,13,9.99
2026-01-07,tiramisu,14,6.99
2026-01-07,house wine,15,7.50
2026-01-08,pizza,12,12.99
2026-01-08,calzone,9,11.99
2026-01-08,salad,8,15.99
2026-01-08,espresso,19,2.50
2026-01-09,pizza,19,12.99
2026-01-09,pasta,17,9.99
2026-01-09,diavola,10,13.99
2026-01-09,margherita,16,10.99
2026-01-10,pizza,32,12.99
2026-01-10,pasta,20,9.99
2026-01-10,calzone,11,11.99
2026-01-10,tiramisu,18,6.99
2026-01-10,house wine,20,7.50
2026-01-11,pizza,15,12.99
2026-01-11,salad,10,15.99
2026-01-11,espresso,25,2.50
2026-01-12,pizza,23,12.99
2026-01-12,margherita,14,10.99
2026-01-12,pasta,15,9.99
2026-01-12,diavola,12,13.99
2026-01-13,pizza,11,12.99
2026-01-13,calzone,6,11.99
2026-01-13,salad,9,15.99
2026-01-13,tiramisu,7,6.99
2026-01-14,pizza,26,12.99
2026-01-14,pasta,18,9.99
2026-01-14,margherita,20,10.99
2026-01-14,house wine,11,7.50
2026-01-14,espresso,34,2.50
2026-01-15,pizza,17,12.99
2026-01-15,diavola,9,13.99
2026-01-15,salad,12,15.99
2026-01-16,pizza,29,12.99
2026-01-16,pasta,14,9.99
2026-01-16,calzone,10,11.99
2026-01-16,tiramisu,11,6.99
2026-01-17,pizza,35,12.99
2026-01-17,margherita,25,10.99
2026-01-17,pasta,22,9.99
2026-01-17,house wine,18,7.50
2026-01-17,espresso,41,2.50
2026-01-18,pizza,13,12.99
2026-01-18,salad,7,15.99
2026-01-18,diavola,6,13.99
2026-01-19,pizza,20,12.99
2026-01-19,pasta,10,9.99
2026-01-19,calzone,8,11.99
2026-01-19,tiramisu,10,6.99
2026-01-20,pizza,22,12.99
2026-01-20,margherita,17,10.99
2026-01-20,salad,11,15.99
2026-01-20,house wine,9,7.50
2026-01-21,pizza,16,12.99
2026-01-21,pasta,19,9.99
2026-01-21,diavola,13,13.99
2026-01-21,espresso,27,2.50
2026-01-22,pizza,28,12.99
2026-01-22,margherita,21,10.99
2026-01-22,calzone,12,11.99
2026-01-22,tiramisu,15,6.99
2026-01-23,pizza,9,12.99
2026-01-23,pasta,8,9.99
2026-01-23,salad,5,15.99
2026-01-24,pizza,31,12.99
2026-01-24,pasta,24,9.99
2026-01-24,margherita,18,10.99
2026-01-24,house wine,16,7.50
2026-01-24,espresso,36,2.50
2026-01-25,pizza,25,12.99
2026-01-25,diavola,14,13.99
2026-01-25,calzone,9,11.99
2026-01-25,tiramisu,12,6.99
2026-01-26,pizza,14,12.99
2026-01-26,pasta,12,9.99
2026-01-26,salad,8,15.99
2026-01-27,pizza,19,12.99
2026-01-27,margherita,16,10.99
2026-01-27,house wine,10,7.50
2026-01-27,espresso,23,2.50
2026-01-28,pizza,27,12.99
2026-01-28,pasta,15,9.99
2026-01-28,diavola,11,13.99
2026-01-28,tiramisu,8,6.99
2026-01-29,pizza,12,12.99
2026-01-29,calzone,7,11.99
2026-01-29,salad,9,15.99
2026-01-30,pizza,30,12.99
2026-01-30,margherita,23,10.99
2026-01-30,pasta,21,9.99
2026-01-30,house wine,14,7.50
2026-01-30,espresso,38,2.50
2026-01-31,pizza,33,12.99
2026-01-31,pasta,18,9.99
2026-01-31,diavola,15,13.99
2026-01-31,tiramisu,16,6.99
2026-02-01,pizza,11,12.99
2026-02-01,salad,6,15.99
2026-02-01,espresso,20,2.50
2026-02-02,pizza,21,12.99
2026-02-02,margherita,19,10.99
2026-02-02,pasta,14,9.99
2026-02-02,calzone,8,11.99
2026-02-03,pizza,24,12.99
2026-02-03,diavola,12,13.99
2026-02-03,house wine,13,7.50
2026-02-03,tiramisu,9,6.99
